segment,duration_s,ch,id_hex,meaning,count,unique,first,last,score,top_values
right_turn_signal_5_blinks_done,37.507,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",449,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x449
right_turn_signal_5_blinks_done,37.507,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,447,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x447
right_turn_signal_5_blinks_done,37.507,1,0x53E,gear/reverse secondary candidate,246,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x246
right_turn_signal_5_blinks_done,37.507,1,0x5CF,seat/climate secondary candidate,239,1,3F 07 00 00 00 7F 80 00,3F 07 00 00 00 7F 80 00,22,3F 07 00 00 00 7F 80 00 x239
right_turn_signal_5_blinks_done,37.507,1,0x4E5,driver seat heat C-CAN candidate,220,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x220
hazard_5_blinks_done,39.394,1,0x5CF,seat/climate secondary candidate,256,2,3F 07 00 00 00 7F 80 00,3F 08 00 00 00 7F 80 00,31,3F 07 00 00 00 7F 80 00 x156 | 3F 08 00 00 00 7F 80 00 x100
hazard_5_blinks_done,39.394,1,0x4E6,M-CAN generic multimedia text transport,250,2,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,26,80 80 00 00 80 80 7B 00 x230 | 80 80 00 00 80 80 7A 00 x20
hazard_5_blinks_done,39.394,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,2832,4,00 40 61 FF 64 00 00 58,00 40 61 FF 64 00 00 94,26,00 40 61 FF 64 00 00 1C x722 | 00 40 61 FF 64 00 00 D0 x712 | 00 40 61 FF 64 00 00 58 x706 | 00 40 61 FF 64 00 00 94 x692
hazard_5_blinks_done,39.394,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,278,4,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,24,03 00 41 00 C0 00 00 01 x224 | 03 00 41 00 C2 00 00 01 x25 | 03 00 49 00 C2 00 00 41 x24 | 03 00 49 00 C0 00 00 41 x5
hazard_5_blinks_done,39.394,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,547,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x547
hazard_5_blinks_done,39.394,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,536,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x536
hazard_5_blinks_done,39.394,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",493,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x493
hazard_5_blinks_done,39.394,1,0x490,M-CAN USB media text transport / Music USB spam candidate,490,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x490
hazard_5_blinks_done,39.394,1,0x53E,gear/reverse secondary candidate,254,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x254
hazard_5_blinks_done,39.394,1,0x4E5,driver seat heat C-CAN candidate,253,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x253
reverse_R_2x_done,53.068,1,0x53E,gear/reverse secondary candidate,415,2,00 08 00 00 80 05,00 08 00 00 80 0E,31,00 08 00 00 80 05 x214 | 00 08 00 00 80 0E x201
reverse_R_2x_done,53.068,1,0x50E,gear/reverse secondary candidate,211,2,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,26,20 00 00 20 00 00 00 00 x155 | 00 00 00 20 00 00 00 00 x56
reverse_R_2x_done,53.068,0,0x169,gear/reverse secondary candidate,227,3,20 01 00 FF 14 00 40 00,20 01 00 FF 14 00 40 00,25,20 01 00 FF 14 00 40 00 x167 | 27 01 00 FF 14 00 40 00 x53 | 2E 01 00 FF 14 00 40 00 x7
reverse_R_2x_done,53.068,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",848,4,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,24,00 00 C0 00 00 00 00 01 x748 | 00 01 C0 00 00 00 00 01 x74 | 00 00 C0 00 00 00 00 00 x19 | 00 01 C0 00 00 00 30 01 x7
reverse_R_2x_done,53.068,1,0x4E6,M-CAN generic multimedia text transport,412,4,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,24,80 80 00 00 80 80 7B 00 x228 | 80 80 00 00 80 80 79 00 x98 | 80 80 00 00 80 80 7A 00 x85 | 80 80 00 00 80 80 77 00 x1
reverse_R_2x_done,53.068,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,872,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x872
reverse_R_2x_done,53.068,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,850,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x850
reverse_R_2x_done,53.068,1,0x490,M-CAN USB media text transport / Music USB spam candidate,831,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x831
reverse_R_2x_done,53.068,1,0x5CF,seat/climate secondary candidate,415,1,3F 08 00 00 00 7F 80 00,3F 08 00 00 00 7F 80 00,22,3F 08 00 00 00 7F 80 00 x415
reverse_R_2x_done,53.068,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,414,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x414
reverse_R_2x_done,53.068,1,0x4E5,driver seat heat C-CAN candidate,411,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x411
brake_pedal_3x_done,62.210,1,0x5CF,seat/climate secondary candidate,422,2,3F 08 00 00 00 7F 80 00,3F 08 00 00 00 7F 80 00,26,3F 08 00 00 00 7F 80 00 x421 | 3F 09 00 00 00 7F 80 00 x1
brake_pedal_3x_done,62.210,1,0x4E6,M-CAN generic multimedia text transport,397,2,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,26,80 80 00 00 80 80 7B 00 x293 | 80 80 00 00 80 80 7A 00 x104
brake_pedal_3x_done,62.210,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,859,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x859
brake_pedal_3x_done,62.210,1,0x490,M-CAN USB media text transport / Music USB spam candidate,854,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x854
brake_pedal_3x_done,62.210,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,843,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x843
brake_pedal_3x_done,62.210,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",842,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x842
brake_pedal_3x_done,62.210,1,0x53E,gear/reverse secondary candidate,413,1,00 08 00 00 80 0E,00 08 00 00 80 0E,22,00 08 00 00 80 0E x413
brake_pedal_3x_done,62.210,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,398,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x398
brake_pedal_3x_done,62.210,1,0x4E5,driver seat heat C-CAN candidate,396,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x396
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,1,0x559,body_gateway_4: windows/heated steering state candidate,504,2,00 40 00 00 20 00 00 40,00 40 00 00 00 00 00 40,31,00 40 00 00 20 00 00 40 x402 | 00 40 00 00 00 00 00 40 x102
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,0,0x131,DATC temp display M-CAN,93,2,00 00 FF 00 00 00 FF 00,00 00 00 00 00 00 00 00,31,00 00 FF 00 00 00 FF 00 x85 | 00 00 00 00 00 00 00 00 x8
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,0,0x132,DATC mode display M-CAN,104,4,90 00 00 28 00 00 00 00,F0 C0 00 00 00 00 00 00,29,90 00 00 28 00 00 00 00 x84 | D0 C0 00 20 00 00 00 00 x8 | F0 C0 00 00 00 00 00 00 x8 | 90 00 00 70 00 00 00 00 x4
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,0,0x134,M-CAN DATC seat heat/vent display candidate,104,4,03 00 00 02 00 00 10 00,00 00 00 00 00 00 30 00,29,03 00 00 02 00 00 10 00 x84 | 03 00 00 00 00 00 30 00 x8 | 00 00 00 00 00 00 30 00 x8 | 00 00 00 02 00 00 30 00 x4
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,1001,5,03 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,28,03 00 41 00 C0 00 00 01 x791 | 00 00 41 00 C0 00 00 01 x200 | 04 00 41 00 C0 10 00 01 x7 | 03 00 41 00 C0 10 00 01 x2
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,1,0x553,body_gateway_2: rear doors/diagnostic related,506,2,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,26,00 00 00 08 01 00 C0 00 x501 | 00 00 00 08 01 01 C0 00 x5
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,1,0x043,DATC C-CAN display/status; also TMU_GW on M-CAN depending bus,89,2,00 00 00 04 03 00 00 00,00 00 00 04 03 00 00 00,26,00 00 00 04 03 00 00 00 x84 | 00 00 00 0E 00 00 00 00 x5
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,0,0x169,gear/reverse secondary candidate,463,7,20 01 00 FF 14 00 40 00,1F 00 00 FF 14 00 00 00,26,20 01 00 FF 14 00 40 00 x222 | 20 01 03 FF 14 00 40 00 x182 | 1F 00 00 FF 14 00 00 00 x26 | 2F 00 00 FF 14 00 40 00 x21
engine_started_steering_left_center_right_cycles_done_ignition_off,107.604,1,0x490,M-CAN USB media text transport / Music USB spam candidate,1876,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x1876
post_ignition_off_baseline_8s_done,8.077,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,162,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x162
post_ignition_off_baseline_8s_done,8.077,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,81,1,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,22,00 00 41 00 C0 00 00 01 x81
post_ignition_off_baseline_8s_done,8.077,1,0x50E,gear/reverse secondary candidate,41,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x41
post_ignition_off_baseline_8s_done,8.077,1,0x553,body_gateway_2: rear doors/diagnostic related,41,1,00 00 00 08 01 00 C0 00,00 00 00 08 01 00 C0 00,22,00 00 00 08 01 00 C0 00 x41
post_ignition_off_baseline_8s_done,8.077,1,0x559,body_gateway_4: windows/heated steering state candidate,41,1,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,22,00 40 00 00 00 00 00 40 x41
post_ignition_off_baseline_8s_done,8.077,1,0x386,wheel speeds,404,16,00 C0 00 C0 00 40 00 80,00 80 00 00 00 40 00 80,13,00 C0 00 C0 00 40 00 80 x26 | 00 00 00 00 00 40 00 80 x26 | 00 40 00 00 00 40 00 80 x26 | 00 80 00 00 00 40 00 80 x26
central_lock_lock_unlock_2x_done,74.669,0,0x169,gear/reverse secondary candidate,195,2,1F 00 00 FF 14 00 00 00,3F 00 00 FF 14 00 00 00,31,1F 00 00 FF 14 00 00 00 x179 | 3F 00 00 FF 14 00 00 00 x16
central_lock_lock_unlock_2x_done,74.669,1,0x553,body_gateway_2: rear doors/diagnostic related,217,3,00 00 00 08 01 00 C0 00,00 00 01 08 01 00 C0 00,30,00 00 00 08 01 00 C0 00 x125 | 00 00 01 08 01 00 C0 00 x88 | 00 00 10 08 01 00 C0 00 x4
central_lock_lock_unlock_2x_done,74.669,1,0x559,body_gateway_4: windows/heated steering state candidate,209,2,00 40 00 00 00 00 00 40,00 40 00 00 00 00 00 40,26,00 40 00 00 00 00 00 40 x130 | 00 00 00 00 00 00 00 40 x79
central_lock_lock_unlock_2x_done,74.669,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,763,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x763
central_lock_lock_unlock_2x_done,74.669,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,383,1,00 00 41 00 C0 00 00 01,00 00 41 00 C0 00 00 01,22,00 00 41 00 C0 00 00 01 x383
central_lock_lock_unlock_2x_done,74.669,1,0x50E,gear/reverse secondary candidate,191,1,20 00 00 20 00 00 00 00,20 00 00 20 00 00 00 00,22,20 00 00 20 00 00 00 00 x191
central_lock_lock_unlock_2x_done,74.669,0,0x131,DATC temp display M-CAN,39,1,00 00 00 00 00 00 00 00,00 00 00 00 00 00 00 00,22,00 00 00 00 00 00 00 00 x39
ignition_on_driver_window_down_up_done,77.796,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",740,2,00 00 C0 00 00 00 00 00,00 00 C0 00 00 00 00 01,31,00 00 C0 00 00 00 00 01 x739 | 00 00 C0 00 00 00 00 00 x1
ignition_on_driver_window_down_up_done,77.796,1,0x4E5,driver seat heat C-CAN candidate,353,2,80 00 00 17 49 D0 00 00,80 00 00 0B 49 D0 00 00,31,80 00 00 0B 49 D0 00 00 x352 | 80 00 00 17 49 D0 00 00 x1
ignition_on_driver_window_down_up_done,77.796,1,0x559,body_gateway_4: windows/heated steering state candidate,171,2,00 40 00 00 00 00 00 40,00 40 00 00 20 00 00 40,31,00 40 00 00 20 00 00 40 x166 | 00 40 00 00 00 00 00 40 x5
ignition_on_driver_window_down_up_done,77.796,1,0x043,DATC C-CAN display/status; also TMU_GW on M-CAN depending bus,41,2,00 00 00 0E 00 00 00 00,00 00 00 04 03 00 00 00,31,00 00 00 04 03 00 00 00 x38 | 00 00 00 0E 00 00 00 00 x3
ignition_on_driver_window_down_up_done,77.796,0,0x131,DATC temp display M-CAN,41,2,00 00 00 00 00 00 00 00,00 00 FF 00 00 00 FF 00,31,00 00 FF 00 00 00 FF 00 x40 | 00 00 00 00 00 00 00 00 x1
ignition_on_driver_window_down_up_done,77.796,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,762,3,00 00 0C 00 00 00 00 60,11 00 04 00 00 00 00 20,30,11 00 04 00 00 00 00 20 x700 | 11 03 07 00 00 00 00 2F x61 | 00 00 0C 00 00 00 00 60 x1
ignition_on_driver_window_down_up_done,77.796,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,366,3,00 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,30,03 00 41 00 C0 00 00 01 x356 | 00 00 41 00 C0 00 00 01 x6 | 02 00 41 00 C0 00 00 01 x4
ignition_on_driver_window_down_up_done,77.796,0,0x169,gear/reverse secondary candidate,183,3,1F 00 00 FF 14 00 00 00,20 01 00 FF 14 00 40 00,30,20 01 00 FF 14 00 40 00 x175 | 1F 00 00 FF 14 00 00 00 x4 | 2F 00 00 FF 14 00 40 00 x4
front_passenger_window_down_up_done,55.749,1,0x5CF,seat/climate secondary candidate,373,2,3F 08 00 00 00 7F 80 00,3F 09 00 00 00 7F 80 00,31,3F 08 00 00 00 7F 80 00 x312 | 3F 09 00 00 00 7F 80 00 x61
front_passenger_window_down_up_done,55.749,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,3952,4,00 40 61 FF 63 00 00 2C,00 40 61 FF 63 00 00 A4,26,00 40 61 FF 63 00 00 A4 x995 | 00 40 61 FF 63 00 00 2C x993 | 00 40 61 FF 63 00 00 E0 x990 | 00 40 61 FF 63 00 00 68 x974
front_passenger_window_down_up_done,55.749,1,0x4E6,M-CAN generic multimedia text transport,369,4,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,24,80 80 00 00 80 80 7B 00 x263 | 80 80 00 00 80 80 7A 00 x99 | 80 80 00 00 80 80 79 00 x6 | 80 80 00 00 80 80 78 00 x1
front_passenger_window_down_up_done,55.749,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,790,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x790
front_passenger_window_down_up_done,55.749,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,766,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x766
front_passenger_window_down_up_done,55.749,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",765,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x765
front_passenger_window_down_up_done,55.749,1,0x490,M-CAN USB media text transport / Music USB spam candidate,736,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x736
front_passenger_window_down_up_done,55.749,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,374,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x374
front_passenger_window_down_up_done,55.749,1,0x53E,gear/reverse secondary candidate,372,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x372
front_passenger_window_down_up_done,55.749,1,0x4E5,driver seat heat C-CAN candidate,370,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x370
rear_left_window_down_up_done,65.612,1,0x5CF,seat/climate secondary candidate,451,2,3F 09 00 00 00 7F 80 00,3F 09 00 00 00 7F 80 00,26,3F 08 00 00 00 7F 80 00 x253 | 3F 09 00 00 00 7F 80 00 x198
rear_left_window_down_up_done,65.612,1,0x4E6,M-CAN generic multimedia text transport,469,3,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,25,80 80 00 00 80 80 7B 00 x342 | 80 80 00 00 80 80 7A 00 x119 | 80 80 00 00 80 80 79 00 x8
rear_left_window_down_up_done,65.612,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,987,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x987
rear_left_window_down_up_done,65.612,1,0x490,M-CAN USB media text transport / Music USB spam candidate,928,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x928
rear_left_window_down_up_done,65.612,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",928,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x928
rear_left_window_down_up_done,65.612,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,924,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x924
rear_left_window_down_up_done,65.612,1,0x4E5,driver seat heat C-CAN candidate,469,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x469
rear_left_window_down_up_done,65.612,1,0x53E,gear/reverse secondary candidate,462,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x462
rear_left_window_down_up_done,65.612,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,452,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x452
rear_left_window_down_up_done,65.612,0,0x169,gear/reverse secondary candidate,246,1,20 01 00 FF 14 00 40 00,20 01 00 FF 14 00 40 00,22,20 01 00 FF 14 00 40 00 x246
rear_right_window_down_up_done,57.763,1,0x316,EMS speed/rpm/temperature family,4606,2,05 02 00 00 02 15 00 80,05 02 00 00 02 16 00 80,28,05 02 00 00 02 15 00 80 x3228 | 05 02 00 00 02 16 00 80 x1378
rear_right_window_down_up_done,57.763,1,0x4E6,M-CAN generic multimedia text transport,463,3,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,25,80 80 00 00 80 80 7B 00 x315 | 80 80 00 00 80 80 7A 00 x136 | 80 80 00 00 80 80 79 00 x12
rear_right_window_down_up_done,57.763,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,937,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x937
rear_right_window_down_up_done,57.763,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,935,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x935
rear_right_window_down_up_done,57.763,1,0x490,M-CAN USB media text transport / Music USB spam candidate,924,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x924
rear_right_window_down_up_done,57.763,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",900,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x900
rear_right_window_down_up_done,57.763,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,469,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x469
rear_right_window_down_up_done,57.763,1,0x4E5,driver seat heat C-CAN candidate,466,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x466
rear_right_window_down_up_done,57.763,1,0x53E,gear/reverse secondary candidate,452,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x452
rear_right_window_down_up_done,57.763,1,0x5CF,seat/climate secondary candidate,438,1,3F 09 00 00 00 7F 80 00,3F 09 00 00 00 7F 80 00,22,3F 09 00 00 00 7F 80 00 x438
climate_auto_on_off_2x_done,65.487,1,0x042,DATC temperature display C-CAN,70,2,00 FF 00 FF 00 00 00 00,00 FF 00 FF 00 00 00 00,26,00 FF 00 FF 00 00 00 00 x55 | 10 FF 10 FF 00 00 00 00 x15
climate_auto_on_off_2x_done,65.487,0,0x131,DATC temp display M-CAN,63,2,00 00 FF 00 00 00 FF 00,00 00 FF 00 00 00 FF 00,26,00 00 FF 00 00 00 FF 00 x48 | 10 00 FF 00 10 00 FF 00 x15
climate_auto_on_off_2x_done,65.487,1,0x111,TCU gear/reverse candidate; reverse seen DATA[4]=0x64 in R segment,5468,4,00 40 61 FF 62 00 00 B4,00 40 61 FF 62 00 00 3C,26,00 40 61 FF 62 00 00 B4 x1380 | 00 40 61 FF 62 00 00 3C x1373 | 00 40 61 FF 62 00 00 78 x1363 | 00 40 61 FF 62 00 00 F0 x1352
climate_auto_on_off_2x_done,65.487,1,0x4E6,M-CAN generic multimedia text transport,517,3,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7B 00,25,80 80 00 00 80 80 7B 00 x423 | 80 80 00 00 80 80 7A 00 x93 | 80 80 00 00 80 80 79 00 x1
climate_auto_on_off_2x_done,65.487,1,0x043,DATC C-CAN display/status; also TMU_GW on M-CAN depending bus,87,4,00 00 00 04 03 00 00 00,00 00 00 04 03 00 00 00,24,00 00 00 04 03 00 00 00 x54 | 00 10 40 02 03 00 00 10 x18 | 00 11 40 02 03 00 00 10 x9 | 00 01 00 04 03 00 00 00 x6
climate_auto_on_off_2x_done,65.487,0,0x132,DATC mode display M-CAN,82,4,90 00 00 28 00 00 00 00,90 00 00 28 00 00 00 00,24,90 00 00 28 00 00 00 00 x49 | 90 01 01 14 00 00 00 01 x18 | 90 11 01 14 00 00 00 01 x9 | 90 10 00 28 00 00 00 00 x6
climate_auto_on_off_2x_done,65.487,1,0x58B,LCA/RCTA/blind spot; stayed fixed in parking/RCTA attempts,1095,1,11 00 04 00 00 00 00 20,11 00 04 00 00 00 00 20,22,11 00 04 00 00 00 00 20 x1095
climate_auto_on_off_2x_done,65.487,1,0x436,PAS11 parking sensor distances; stayed zero in captured segments,1057,1,00 00 00 00,00 00 00 00,22,00 00 00 00 x1057
climate_auto_on_off_2x_done,65.487,1,0x490,M-CAN USB media text transport / Music USB spam candidate,1051,1,01 00 10 20 00 00 00,01 00 10 20 00 00 00,22,01 00 10 20 00 00 00 x1051
climate_auto_on_off_2x_done,65.487,1,0x4F4,"SPAS12 parking display/status on C-CAN; also Android Auto text on M-CAN, bus matters",1043,1,00 00 C0 00 00 00 00 01,00 00 C0 00 00 00 00 01,22,00 00 C0 00 00 00 00 01 x1043
climate_auto_on_off_2x_done,65.487,1,0x53E,gear/reverse secondary candidate,534,1,00 08 00 00 80 05,00 08 00 00 80 05,22,00 08 00 00 80 05 x534
climate_auto_on_off_2x_done,65.487,1,0x4E5,driver seat heat C-CAN candidate,522,1,80 00 00 0B 49 D0 00 00,80 00 00 0B 49 D0 00 00,22,80 00 00 0B 49 D0 00 00 x522
climate_auto_on_off_2x_done,65.487,1,0x541,body_gateway: ignition/doors/trunk/hood/sunroof/lights; sunroof DATA[7]&0x02 confirmed,516,1,03 00 41 00 C0 00 00 01,03 00 41 00 C0 00 00 01,22,03 00 41 00 C0 00 00 01 x516
climate_driver_temp_knob_left_right_done,66.448,1,0x53E,gear/reverse secondary candidate,549,2,00 08 00 00 80 05,00 08 00 00 80 0E,31,00 08 00 00 80 0E x492 | 00 08 00 00 80 05 x57
climate_driver_temp_knob_left_right_done,66.448,1,0x4E6,M-CAN generic multimedia text transport,550,3,80 80 00 00 80 80 7B 00,80 80 00 00 80 80 7A 00,30,80 80 00 00 80 80 7A 00 x306 | 80 80 00 00 80 80 7B 00 x243 | 80 80 00 00 80 80 79 00 x1
climate_driver_temp_knob_left_right_done,66.448,1,0x043,DATC C-CAN display/status; also TMU_GW on M-CAN depending bus,158,3,00 00 00 04 03 00 00 00,00 10 40 02 03 00 00 10,30,00 10 40 02 03 00 00 10 x80 | 00 11 40 02 03 00 00 10 x51 | 00 00 00 04 03 00 00 00 x27
climate_driver_temp_knob_left_right_done,66.448,0,0x132,DATC mode display M-CAN,158,3,90 00 00 28 00 00 00 00,90 01 01 14 00 00 00 01,30,90 01 01 14 00 00 00 01 x80 | 90 11 01 14 00 00 00 01 x51 | 90 00 00 28 00 00 00 00 x27
climate_driver_temp_knob_left_right_done,66.448,1,0x042,DATC temperature display C-CAN,109,4,00 FF 00 FF 00 00 00 00,10 FF 10 FF 00 00 00 00,29,10 FF 10 FF 00 00 00 00 x35 | 0F FF 10 FF 00 00 00 00 x29 | 00 FF 00 FF 00 00 00 00 x26 | 0E FF 10 FF 00 00 00 00 x19
